	CHRM2	KCNG2	PLN	TH	KCNIP2	CENPT	MIS18A	MIS18BP1	CENPI	GEN1	RAD51	RAD54B	TAT	LOX	MYH11	SLN	MMP9	CD27	SLA2
regulation of blood circulation (GO:1903522)	2.720633355191	2.720633355191	2.720633355191	2.720633355191	2.720633355191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENP-A containing nucleosome assembly (GO:0034080)	NA	NA	NA	NA	NA	2.19945415174322	2.19945415174322	2.19945415174322	2.19945415174322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CENP-A containing chromatin organization (GO:0061641)	NA	NA	NA	NA	NA	2.19945415174322	2.19945415174322	2.19945415174322	2.19945415174322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chromatin remodeling at centromere (GO:0031055)	NA	NA	NA	NA	NA	2.0984765443887	2.0984765443887	2.0984765443887	2.0984765443887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mitotic recombination (GO:0006312)	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.01853367620031	2.01853367620031	2.01853367620031	NA	NA	NA	NA	NA	NA	NA
tyrosine metabolic process (GO:0006570)	NA	NA	NA	1.91895302522805	NA	NA	NA	NA	NA	NA	NA	NA	1.91895302522805	NA	NA	NA	NA	NA	NA
elastic fiber assembly (GO:0048251)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.91895302522805	1.91895302522805	NA	NA	NA	NA
negative regulation of calcium ion import (GO:0090281)	NA	NA	1.91895302522805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.91895302522805	NA	NA	NA
regulation of relaxation of muscle (GO:1901077)	NA	NA	1.91895302522805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.91895302522805	NA	NA	NA
centromere complex assembly (GO:0034508)	NA	NA	NA	NA	NA	1.91807266798675	1.91807266798675	1.91807266798675	1.91807266798675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
histone exchange (GO:0043486)	NA	NA	NA	NA	NA	1.91807266798675	1.91807266798675	1.91807266798675	1.91807266798675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
negative regulation of ion transmembrane transporter activity (GO:0032413)	NA	NA	1.83038469789647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.83038469789647	1.83038469789647	NA	NA
negative regulation of calcium ion transmembrane transport (GO:1903170)	NA	NA	1.80120784853327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.80120784853327	NA	NA	NA
B cell mediated immunity (GO:0019724)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.80120784853327	1.80120784853327
DNA replication-independent nucleosome assembly (GO:0006336)	NA	NA	NA	NA	NA	1.79844499644222	1.79844499644222	1.79844499644222	1.79844499644222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
