ID,FC,p
AABR07013255.1,-0.686891449,0.227546124
GAD1,-0.065737068,0.439157725
CBLN1,0.088229053,0.734246732
TCF15,0.129822313,0.614635847
STEAP1,-0.890027763,0.060862417
AABR07061902.1,0.046448987,0.711104687
HEBP1,0.180272504,0.104794084
TMCC2,-0.165984474,0.147086982
NUAK2,-0.009873673,0.976714994
KLHDC8A,-0.021164098,0.777636981
RGD1304622,0.029248594,0.906286181
SLC26A1,-0.185474085,0.163109044
XPR1,0.11418699,0.430057363
IDUA,0.012109191,0.871590861
TMEM175,0.035628424,0.519577308
CD82,-0.153474044,0.368570486
GAK,0.063144046,0.140669377
ABHD8,-0.067321332,0.154726956
CPLX1,-0.011769467,0.907721372
PCGF3,-0.04817919,0.603010936
ATP5ME,0.073519535,0.397066623
FBXO28,0.072499345,0.358827123
PPP2R5A,-0.095150266,0.208563638
LOC100910207,-0.041402327,0.901388606
TMED5,-0.017550662,0.871078863
MTF2,0.044032047,0.720510067
ANTXR2,-0.284595341,0.356049559
HLTF,0.094932794,0.405935024
LOC103691556,-0.316604848,0.118171792
GPR89B,-0.172702984,0.052653682
PDZK1,0.006866334,0.920481697
RNF115,-0.023542358,0.621017839
THOC3,-0.026956457,0.707583454
CPLX2,-0.019114734,0.945208678
AGA,-0.100970569,0.176767125
COPRS,-0.074053045,0.085485368
CHAMP1,-0.046139718,0.471181041
ELAC1,-0.11023483,0.33040219
PIGV,-0.2444206,0.09355494
AK2,-0.063780922,0.613018395
RNF19B,0.001528559,0.988515441
KPNA6,0.175276412,0.076777167
PHF24,0.222648101,0.0212347
DNAJB5,-0.076203408,0.324173317
TXNDC15,-0.049896685,0.308047257
LY86,-0.449155985,0.005411289
GLIS1,0.330596035,0.462150593
PLXDC2,0.263821446,0.113094212
PIK3R3,-0.076099354,0.405976162
DNAJC1,-0.120045459,0.118219273
LDLRAP1,-0.238620626,0.349888814
COG3,-0.01804804,0.786364652
LOC100911486,-0.178146611,0.182964119
ATG12,0.015938954,0.724069718
CDO1,0.064169041,0.37995486
CHM,0.072848353,0.631008032
LAMP2,-0.159300403,0.099746354
APEX2,-0.024085665,0.883237523
ALAS2,-0.185506979,0.681132467
GATM,-0.263994747,0.035984312
SPATA5L1,0.160612016,0.12689572
SLC30A4,0.016118717,0.849514719
SQOR,-0.16299405,0.441341067
MIER2,-0.043733619,0.526377498
PLPP2,-0.473992687,0.134737835
TMPRSS6,0.509689082,0.314344409
MPST,-0.173420207,0.143814551
TST,-0.147882366,0.129956981
CSF2RB,-0.409619115,0.063306344
AABR07058539.1,0.199557816,0.316387347
LOC108348048,-0.625522113,0.102431361
CYP19A1,-0.057235622,0.81726699
SYNCRIP,0.190607537,0.049823045
ANO10,-0.004051696,0.957624268
ABHD5,-0.202464298,0.092630628
LMF1,-0.096818765,0.3815834
KCTD17,-0.024834124,0.704058458
GRM6,0.288906752,0.144988049
ZFP207,0.000520161,0.991366465
RGD1310429,0.145536682,0.317291045
COIL,0.065707858,0.334087627
SLC16A6,-0.094285588,0.501552446
AMZ2,0.056585153,0.302263809
MFSD11,0.001140112,0.981161818
SRSF2,-0.026747003,0.573300938
METTL23,-0.014737832,0.877011158
JMJD6,-0.034213797,0.573213678
SMPD3,0.065048724,0.107202269
PRMT7,-0.069403914,0.246439227
ZFP821,0.094851335,0.343880748
DEF8,-0.047139664,0.587689894
PHYHIPL,-0.162727828,0.094365353
FAM13C,0.061842047,0.491449487
TET1,-0.18962312,0.154493941
RTN4IP1,-0.054017577,0.284668403
PRODH1,-0.078004963,0.408514023
ESS2,-0.018099611,0.817750298
SCARF2,0.129109026,0.541006516
FOXO3,-0.010116159,0.902102191
SESN1,-0.025588703,0.495360875
CEP57L1,-0.153489605,0.029216435
CD164,-0.077333808,0.111739368
SMPD2,0.095331762,0.29430098
MICAL1,0.086842816,0.556455787
ZBTB24,-0.03321524,0.734596603
FIG4,0.05701257,0.170417863
SEC63,-0.033457172,0.495909633
SOBP,0.123736721,0.255123485
CD24,-0.224372029,0.158491594
ATG5,0.213626857,0.025081312
HACE1,0.169192975,0.082131309
RTRAF,0.101962441,0.07637487
NID2,-0.123885459,0.551875486
GRIK2,0.043609965,0.772005103
AABR07044900.1,-0.114766506,0.747062308
AABR07044914.1,-0.798528556,0.090666006
MYPN,-0.173613056,0.649546647
PBLD1,-0.287357966,0.313596603
SLC25A16,0.059045097,0.168062068
SUPV3L1,-0.001326623,0.983971171
SRGN,-0.315988314,0.007371421
KIF1BP,0.09110262,0.163193393
DDX50,0.009465497,0.860557138
CCAR1,-0.047059469,0.183329994
ZUP1,-0.144561465,0.082088872
ROS1,-0.629350791,0.449677244
DCBLD1,-0.170465678,0.433110787
GOPC,-0.000860434,0.987084304
NUS1,-0.00465332,0.8234527
SLC35F1,-0.044780936,0.638141959
PLN,0.427423964,0.395664829
CEP85L,0.229339707,0.175144877
ASF1A,-0.142637151,0.108792132
NUMA1,-0.028031907,0.699549979
ZBTB12,0.172149128,0.13560145
NELFE,-0.076375546,0.332004451
SKIV2L,0.142399791,0.062677268
DXO,0.012990816,0.900202146
AABR07044388.1,0.059203912,0.763156534
ATF6B,0.006164022,0.907539458
FKBPL,0.003036373,0.973846494
PRRT1,0.057248916,0.118377628
PPT2,-0.060427769,0.525253579
EGFL8,-0.029256151,0.896083265
