ID	FC	
LOC100361457	3.18	
LOC100360413	3.06	
Gpbp1l2	2.45	
LOC103694506	2.13	
LOC100911991	1.88	
LOC100911932	1.73	
AABR07048308.2	1.60	
Stpg4	1.46	
AABR07034445.1	1.44	
LOC100359539	1.39	
Drc7	1.25	
P2rx1	1.20	
AABR07060145.1	1.18	
LOC689039	1.13	
Fam228a	1.13	
Adam33	1.12	
AABR07004305.1	1.12	
AABR07017874.1	1.10	
Ghsr	1.09	
Gpr151	1.09	
RF02271	1.08	
Cfb	1.08	
Gvin1	1.02	
Crb1	1.02	
Cilp	1.02	
AABR07036374.1	1.00	
RGD1560775	1.00	
LOC102553472	0.99	
Vgll3	0.98	
AC106605.1	0.98	
AABR07004992.1	0.97	
LOC103690070	0.96	
Dlec1	0.95	
Plekhs1	0.95	
Smarcb1	0.94	
AABR07001432.2	0.93	
Sln	0.91	
Bst1	0.90	
Kif28p	0.90	
AABR07041232.1	0.90	
Zic4	0.89	
AABR07058884.1	0.87	
Piezo2	0.87	
AABR07030598.1	0.87	
Cd27	0.87	
LOC100362109	0.86	
Synpo2	0.86	
RF00577	0.85	
AABR07014676.1	0.85	
AABR07017733.1	0.84	
LOC316124	0.84	
NEWGENE_1310139	0.84	
Rad54b	0.84	
AABR07024441.1	0.84	
Ly6k	0.83	
MGC114499	0.83	
AABR07067310.2	0.83	
Grap2	0.83	
Mmp9	0.82	
AABR07000411.1	0.81	
RF00003	0.81	
AABR07050423.1	0.81	
AABR07055280.1	0.80	
Rsph14	0.80	
RF00067	0.79	
AABR07043514.1	0.78	
Hpx	0.78	
Zfp296	0.78	
AABR07063703.1	0.77	
Fgf5	0.77	
AABR07030435.1	0.77	
RF00580	0.76	
Dnah7	0.76	
AABR07049353.1	0.75	
Dbil5	0.75	
LOC100910196	0.75	
Smim5	0.75	
Fscn3	0.74	
Artn	0.74	
Ptpn20	0.74	
RGD1310495	0.74	
Spata31d1	0.74	
Mirlet7b	0.74	
AABR07001100.1	0.74	
AC111885.1	0.74	
Trappc3l	0.73	
Mis18a	0.73	
Sntb2	0.73	
Mir3561	0.72	
AABR07017825.7	0.72	
AABR07069490.1	0.72	
RT1-N2	0.72	
Ggnbp1	0.71	
Foxr1	0.71	
Tnp2	0.71	
Sim1	0.71	
Chst13	0.71	
AABR07057250.1	0.70	
Ccdc38	0.70	
Grb7	0.70	
S100a11	0.70	
Fcmr	0.69	
Actl10	0.69	
Gen1	0.69	
AABR07041418.1	0.68	
Ccdc27	0.68	
Agbl2	0.67	
AABR07007717.3	0.67	
Plac8l1	0.67	
Ephx2	0.67	
Zfp663	0.67	
AABR07016779.1	0.67	
Tcf19	0.67	
AABR07045373.1	0.66	
LOC108348080	0.66	
Pik3c2g	0.66	
S100a10	0.66	
AABR07065031.1	0.66	
LOC100911256	0.66	
LOC108348197	0.66	
AABR07071842.1	0.65	
Gpr132	0.65	
AABR07026311.1	0.65	
Vmo1	0.65	
Ifi44l	0.65	
LOC103692170	0.65	
