ID,FC,p
AABR07013255.1,0.11909298,1
GAD1,-0.049067212,1
CBLN1,0.102091122,1
TCF15,-0.145490954,1
STEAP1,0.150695768,1
AABR07061902.1,-0.114866162,1
HEBP1,-0.178372427,1
TMCC2,-0.016540056,1
NUAK2,-0.035406875,1
KLHDC8A,-0.097509097,1
RGD1304622,-0.291437774,1
SLC26A1,0.101396665,1
XPR1,0.088152992,1
IDUA,-0.075143626,1
TMEM175,-0.044966471,1
CD82,-0.136784834,1
GAK,-0.126254612,1
ABHD8,0.026509905,1
CPLX1,-0.270007913,1
PCGF3,0.039644303,1
ATP5ME,-0.048458535,1
FBXO28,0.030372999,1
PPP2R5A,-0.02910631,1
LOC100910207,0.153425869,1
TMED5,0.174174682,1
MTF2,-0.028682032,1
ANTXR2,0.662340557,1
HLTF,0.067531503,1
LOC103691556,0.035534369,1
GPR89B,0.028350993,1
PDZK1,0.225795702,1
RNF115,-0.051759842,1
THOC3,0.143599477,1
CPLX2,-0.223135153,1
AGA,0.107386296,1
COPRS,-0.037974314,1
CHAMP1,-0.13851255,1
ELAC1,-0.006038065,1
PIGV,-0.026352311,1
AK2,0.046022714,1
RNF19B,-0.263392467,1
KPNA6,0.009816903,1
PHF24,-0.074122827,1
DNAJB5,-0.172682194,1
TXNDC15,0.017033552,1
LY86,-0.036274828,1
GLIS1,-0.02051591,1
PLXDC2,-0.169610618,1
PIK3R3,0.012170508,1
DNAJC1,-0.160468567,1
LDLRAP1,0.338345842,1
COG3,0.036904851,1
LOC100911486,-0.181061642,1
ATG12,0.159983849,1
CDO1,0.14108275,1
CHM,0.269026755,1
LAMP2,0.193746944,1
PFKFB1,-1.624850976,1
APEX2,0.121348833,1
ALAS2,-0.008207767,1
GATM,0.018956,1
SPATA5L1,-0.321680632,1
SLC30A4,0.046135302,1
SQOR,-0.04553196,1
MIER2,-0.066185708,1
PLPP2,0.211965763,1
TMPRSS6,-0.213832537,1
MPST,-0.046802136,1
TST,-0.098554954,1
CSF2RB,-0.475340325,1
AABR07058539.1,-0.029156786,1
LOC108348048,-0.117000446,1
CYP19A1,-0.102538869,1
SYNCRIP,0.097948036,1
ANO10,0.002297727,1
ABHD5,0.154478436,1
LMF1,-0.303576994,1
KCTD17,-0.120663208,1
GRM6,0.188876302,1
ZFP207,0.034547062,1
RGD1310429,0.048482146,1
COIL,0.005157258,1
SLC16A6,-0.118126049,1
AMZ2,-0.038611453,1
MFSD11,0.026967744,1
SRSF2,0.045507044,1
METTL23,-0.038527838,1
JMJD6,-0.02857507,1
SMPD3,-0.099794385,1
PRMT7,0.04241353,1
ZFP821,-0.102348434,1
DEF8,-0.02299922,1
PHYHIPL,-0.020913694,1
FAM13C,-0.13308391,1
TET1,0.021093366,1
RTN4IP1,-0.045540738,1
PRODH1,-0.036134618,1
ESS2,0.103281923,1
SCARF2,0.041486111,1
FOXO3,-0.060785912,1
SESN1,0.03969818,1
CEP57L1,0.02337845,1
CD164,0.163176583,1
SMPD2,0.006904104,1
MICAL1,-0.01891939,1
ZBTB24,0.022128276,1
FIG4,0.021995371,1
SEC63,-0.005537695,1
SOBP,-0.155759966,1
CD24,0.068807652,1
ATG5,-0.037573247,1
PRDM1,-0.46644813,1
HACE1,0.133986443,1
RTRAF,-0.132032754,1
NID2,0.113011154,1
GRIK2,0.114626221,1
AABR07044900.1,-0.961452318,1
TMEM167B,-0.324162627,1
MYPN,0.374016386,1
PBLD1,-0.006611456,1
SLC25A16,0.145710638,1
LOC100910755,0.145696177,1
SUPV3L1,-0.021114806,1
SRGN,-0.073233839,1
KIF1BP,-0.058644679,1
DDX50,0.204523703,1
CCAR1,0.075145122,1
ZUP1,0.132877764,1
ROS1,0.17616893,1
DCBLD1,0.050079069,1
GOPC,0.005925024,1
NUS1,0.041979878,1
SLC35F1,0.110902589,1
PLN,-0.229354454,1
CEP85L,-0.143321688,1
ASF1A,0.269532901,1
NUMA1,-0.11342828,1
ZBTB12,-0.30001897,1
NELFE,-0.061462759,1
SKIV2L,-0.087448057,1
DXO,-0.021637509,1
AABR07044388.1,-0.369170427,1
ATF6B,-0.069123639,1
FKBPL,0.013155544,1
PRRT1,-0.14928222,1
PPT2,-0.095103971,1
EGFL8,-0.191426247,1
AGPAT1,-0.112965743,1
RNF5,-0.106900827,1
AGER,0.272471803,1
PBX2,0.009660864,1
GPSM3,0.284168441,1
NOTCH4,-0.103532797,1
LOC103689965,0.07332453,1
RT1-BA,0.23893603,1
RT1-DOB,0.125869525,1
LOC103689996,0.095529135,1
PSMB8,-0.233969332,1
TAP1,-0.246443157,1
PSMB9,-0.515551856,1
BRD2,-0.013015481,1
COL11A2,-0.015661607,1
RXRB,-0.068691091,1
SLC39A7,-0.01457294,1
HSD17B8,0.082340778,1
RING1,-0.126952356,1
VPS52,-0.055526346,1
B3GALT4,-0.355698784,1
PFDN6,-0.06295287,1
RGL2,-0.038299506,1
ZBTB22,-0.12478022,1
DAXX,0.0447756,1
AA926063,0.040542955,1
KIFC1,-0.114547883,1
PHF1,-0.043450875,1
CUTA,-0.2966068,1
SYNGAP1,-0.174616896,1
BAK1,-0.00823487,1
GGNBP1,0.1206052,1
GRM4,-0.089618229,1
HMGA1,0.03490678,1
RPS10,-0.021100986,1
SPDEF,0.478004318,1
SNRPC,-0.187392053,1
UHRF1BP1,-0.054388913,1
ANKS1A,-0.039458981,1
SCUBE3,0.119014758,1
ZFP523,-0.120528729,1
DEF6,0.381198523,1
PPARD,-0.209338911,1
FANCE,-0.11112066,1
TEAD3,-0.049001183,1
SRPK1,0.012041461,1
SLC26A8,0.111515228,1
MAPK14,-0.031679825,1
KCTD20,-0.031574554,1
STK38,-0.060798711,1
SRSF3,0.11735928,1
CDKN1A,0.071213651,1
CPNE5,0.083113329,1
PPIL1,-0.030649577,1
RGD735065,-0.086055463,1
PI16,0.012255389,1
MTCH1,-0.043154703,1
FGD2,-0.220303833,1
PIM1,0.053606017,1
CCDC167,-0.323025524,1
CMTR1,-0.088416492,1
MDGA1,-0.30612908,1
BTBD9,-0.072547935,1
GLO1,0.022090272,1
DNAH8,-0.759566931,1
NT5DC1,0.355216744,1
TSPYL4,0.03249713,1
TSPYL1,0.005853668,1
FAM241B,0.0887718,1
COL13A1,0.984909375,1
PPA1,-0.028936049,1
NPFFR1,-0.062433737,1
LRRC20,-0.03338803,1
PALD1,0.144743526,1
ADAMTS14,0.263643308,1
SGPL1,-0.033864404,1
PCBD1,-0.284282791,1
UNC5B,-0.067278418,1
SLC29A3,-0.077101932,1
VSIR,-0.209529934,1
PSAP,-0.071810591,1
CHST3,-0.130038919,1
ANAPC16,0.269343247,1
MARCKS,0.372789247,1
CALHM4,-0.007349265,1
CDC40,-0.008882511,1
DDO,-0.227923802,1
CDK19,-0.019702172,1
AMD1,-0.023469417,1
GTF3C6,0.149510624,1
RPF2,-0.074643381,1
RGD1310495,-0.73524449,1
REV3L,0.088715514,1
TRAF3IP2,-0.305778404,1
FYN,-0.057348371,1
WISP3,-0.537488305,1
TUBE1,-0.006874996,1
LAMA4,-0.278133918,1
HDAC2,0.019295306,1
HS3ST5,-0.186510104,1
