ID	FC
Rpl37	4.29
AABR07045373.1	3.63
Rps15al4	3.57
Ttr	3.45
Tpd52l3	2.93
LOC102555727	2.89
LOC108350502	2.84
AC128901.1	2.73
AABR07027015.1	2.13
AABR07068162.1	2.02
LOC100360413	1.94
LOC100911991	1.94
LOC100910934	1.93
AC111943.1	1.82
LOC688655	1.70
Rdh5	1.64
Ccdc152	1.64
Gpr156	1.58
LOC100361259	1.56
AABR07056470.1	1.52
Slc4a5	1.52
RF00278	1.51
AC120486.6	1.48
Shcbp1	1.46
Cnga4	1.45
Klra2	1.45
Tmem221	1.44
AABR07059072.1	1.42
AABR07026797.1	1.41
AABR07061333.2	1.40
Dnah7	1.39
AABR07062466.1	1.39
Txlnb	1.39
AABR07011951.1	1.39
Tex52	1.37
RF00604	1.37
Tspear	1.36
Slc15a1	1.35
LOC108349943	1.35
AABR07005533.1	1.33
AABR07020987.1	1.31
Nrap	1.29
Cldn34e	1.29
AC117122.1	1.29
RF00278	1.29
Mael	1.28
Gng5	1.28
Sostdc1	1.25
Scp2d1	1.24
LOC691254	1.23
AABR07021762.1	1.23
AABR07050399.2	1.23
AC121639.1	1.21
AC097845.1	1.21
AC125384.1	1.20
AABR07018323.1	1.19
RF00105	1.19
Myoc	1.19
Bfsp2	1.18
Zmynd15	1.18
Krt20	1.18
LOC100361920	1.18
Spata1	1.17
LOC103690131	1.16
Acsm4	1.16
Cd40	1.14
Rhoh	1.12
Siglec15	1.12
Gcgr	1.12
AABR07030257.1	1.12
RF00279	1.12
Lrit3	1.12
RF00278	1.12
AABR07001435.1	1.11
Ddit4l	1.11
AABR07054554.1	1.10
Rsl1d1	1.10
RGD1311251	1.10
AABR07018226.2	1.10
AABR07050423.1	1.09
Pglyrp1	1.08
AC130624.1	1.08
Il2ra	1.08
Slc10a6	1.08
Ikzf3	1.07
AABR07007023.1	1.06
S100a11	1.06
AABR07052523.1	1.05
RF00015	1.04
Kmo	1.03
Inca1	1.03
Cpa4	1.03
Lag3	1.03
RF00578	1.03
AC141145.1	1.03
Stx11	1.02
Amh	1.02
Akr1c13	1.01
RF00026	1.01
AABR07037058.2	1.01
AC142138.2	1.01
Lif	1.00
Cel	1.00
Hpgds	1.00
LOC103692785	1.00
LOC103694404	1.00
AABR07044362.3	0.99
Hhex	0.99
AABR07071842.1	0.99
Col13a1	0.98
AABR07026565.1	0.98
AABR07052458.1	0.98
Fzd5	0.98
AABR07010985.1	0.98
LOC100365062	0.97
Mir138-2	0.97
Adam32	0.96
Sertad3	0.94
Neil2	0.94
Mkx	0.94
Mcm5	0.94
Nanos3	0.93
Tmem26	0.93
Tmem72	0.93
AABR07014676.1	0.93
AABR07028917.1	0.93
AC121204.3	0.93
Nusap1	0.93
Il11	0.93
Tmem30c	0.93
Efhc2	0.93
Pla2g2d	0.93
AC127756.1	0.93
Tmem200b	0.93
AABR07065127.1	0.93
Cyp27b1	0.93
LOC108348568	0.93
AABR07044420.1	0.93
Aurkb	0.93
AABR07004297.1	0.93
AABR07024955.1	0.93
Pkhd1l1	0.93
Birc3	0.93
Fgf5	0.93
Agtr2	0.93
AC128610.1	0.93
Dnajc22	0.93
AABR07047189.1	0.93
AABR07048139.1	0.93
Gpbp1l2	0.92
AABR07059142.1	0.92
RGD1565622	0.92
AABR07051831.1	0.92
Snurf	0.91
Rpl21	0.91
Ndc80	0.91
AABR07040782.1	0.90
Ptgfr	0.90
AABR07055792.1	0.90
Irf6	0.90
RF00284	0.90
Rbm20	0.89
LOC102549869	0.89
LOC102555924	0.89
AABR07001160.1	0.89
Sbspon	0.89
Opn4	0.89
Ren	0.89
LOC681355	0.89
Elf4	0.88
Zdhhc19	0.88
Tmem116	0.88
Prss30	0.88
Gpr21	0.88
AABR07010787.1	0.88
AABR07029863.3	0.88
Rho	0.88
AABR07045485.1	0.88
Tll2	0.87
AC128967.2	0.87
RF00566	0.87
RF00419	0.87
Spata17	0.87
Cetn4	0.87
Prph	0.87
Btn2a2	0.87
RF00231	0.87
Kif24	0.86
Otoa	0.86
Smagp	0.86
LOC103690821	0.86
AABR07056576.1	0.86
Gm45623	0.86
AABR07003056.3	0.86
Mgst2	0.86
Pcdhb21	0.86
AABR07035008.1	0.86
St8sia2	0.85
Tpte2	0.84
Agrp	0.84
Lilrb3	0.84
AABR07067950.1	0.84
AABR07055146.1	0.83
Ptger4	0.83
Dmkn	0.83
Fam83b	0.83
AC127084.3	0.83
AABR07049799.1	0.83
Ube2t	0.83
Ptgr1	0.83
Tmem54	0.83
Cysltr1	0.83
AABR07029863.1	0.83
LOC102554748	0.83
Msh5	0.82
Col17a1	0.82
Lhx3	0.82
Rad54b	0.82
Traf5	0.81
AABR07045632.1	0.81
RF00105	0.81
AC096430.2	0.81
AABR07068214.1	0.81
AABR07029863.2	0.80
RF00398	0.80
LOC688649	0.80
Ripply3	0.80
Zglp1	0.80
AABR07033757.1	0.80
Rab20	0.79
AABR07054397.1	0.79
AC117330.1	0.79
Clec4a	0.78
Tbxt	0.78
Nrl	0.78
AABR07001573.1	0.78
LOC102547039	0.78
LOC100362965	0.78
Ccdc38	0.78
AABR07059563.1	0.78
Sp8	0.77
AABR07028995.1	0.77
AABR07070518.1	0.77
AABR07010468.1	0.77
AABR07013914.1	0.77
Pla2g3	0.77
Lrp2bp	0.76
Slc44a3	0.76
RGD1561662	0.76
AABR07058745.1	0.76
RF00392	0.76
Robo3	0.76
Tbx18	0.76
Mefv	0.76
Lacc1	0.76
RGD1307182	0.76
AABR07072897.1	0.76
AABR07006333.1	0.76
AABR07009715.1	0.76
Armc3	0.76
Smim22	0.76
AABR07026984.1	0.76
RF00411	0.75
AABR07054983.1	0.74
Ccdc158	0.74
AABR07007799.1	0.74
Adamts16	0.74
Clnk	0.74
Dbf4	0.74
AC096317.2	0.74
LOC100366054	0.74
Tmsb10	0.74
LOC102549993	0.74
AABR07042514.3	0.74
Cngb1	0.74
AABR07007798.1	0.74
AABR07038019.1	0.74
Trpv5	0.73
LOC100362027	0.73
Ccdc27	0.73
Styk1	0.73
LOC100362999	0.73
LOC103691005	0.73
RF00400	0.72
Sgo1	0.72
AABR07060293.1	0.72
RF00563	0.72
AC128960.3	0.72
AABR07001592.2	0.72
Ccdc175	0.72
Il15	0.72
Atp4a	0.72
Gmnc	0.72
Fbxo5	0.72
Tpbgl	0.71
Cenpk	0.71
Gm22877	0.71
Gtf2a2	0.71
Scel	0.71
AABR07013140.1	0.71
RGD1562402	0.71
Cytip	0.71
Slc26a3	0.71
Car9	0.71
Cd27	0.71
Dgkk	0.71
AABR07026892.1	0.71
Fgf18	0.71
AABR07068975.1	0.71
RF00026	0.71
Crip3	0.71
AABR07055776.1	0.71
Slc25a43	0.70
Acot5	0.70
AC135645.2	0.70
LOC100910577	0.70
Slco5a1	0.70
Oc90	0.70
Xirp1	0.70
Tcim	0.70
Ifi44l	0.70
RF00003	0.70
AABR07054361.1	0.70
Mt-nd4l	0.70
Bend7	0.70
Mkrn3	0.69
Ccdc3	0.69
AABR07001207.1	0.69
Epor	0.69
Mrgprf	0.69
AABR07015531.1	0.69
RF00554	0.69
Ccdc151	0.69
NEWGENE_2724	0.69
Ebf3	0.68
RF00181	0.68
AABR07055801.1	0.68
Cenpm	0.68
AABR07041418.1	0.68
LOC103693375	0.68
Stk3	0.67
Col4a6	0.67
Map3k8	0.67
RT1-M6-2	0.67
Ppic	0.67
AABR07071294.1	0.67
RF00181	0.67
Cybrd1	0.67
RF00089	0.67
Syne3	0.67
Ctf2	0.67
AABR07009538.1	0.67
LOC103690019	0.67
Mir101a	0.67
AABR07052613.1	0.67
Rbm47	0.67
RGD1562029	0.67
Colca2	0.67
RF00410	0.67
AABR07043354.1	0.67
Ccdc170	0.67
AABR07055154.1	0.66
Htra4	0.66
Antxr2	0.66
Tbx2	0.66
Col8a1	0.66
Hrc	0.66
Lrrc3	0.66
Gpr183	0.66
Psmb11	0.66
AABR07013288.4	0.66
Klhl41	0.65
AABR07001392.1	0.65
AABR07053152.1	0.65
Crb2	0.65
Calcr	0.65
Drc7	0.65
RF00085	0.65
Gal	0.65
Ifitm6	0.65
AABR07024303.1	0.65
Mlnr	0.65
Spats1	0.64
Slc26a9	0.64
Socs3	0.64
Postn	0.64
RF00099	0.64
Prss35	0.64
Rbpms	0.64
Prr20e	0.64
LOC100364116	0.64
Pdc	0.64
Wnt8b	0.64
Tesmin	0.64
Efcab12	0.64
AABR07057586.1	0.64
AABR07071287.1	0.64
Alpp	0.64
Btnl10	0.64
AABR07017624.1	0.64
AABR07002848.2	0.64
RF00408	0.64
Fcgr1a	0.63
AABR07024457.1	0.63
Lvrn	0.63
Lrrc71	0.63
P2ry14	0.63
Tlcd2	0.63
Fam229a	0.63
Mr1	0.63
AABR07043510.1	0.63
Qrfpr	0.62
Fut1	0.62
Ccna2	0.62
Fam228b	0.62
Lrif1	0.62
AABR07001910.1	0.62
Lsm5	0.62
AABR07032338.1	0.62
AABR07024473.2	0.62
Slc2a4	0.61
Depdc7	0.61
Klf14	0.61
Vom2r80	0.61
Prss22	0.61
Ctla2a	0.61
AABR07070357.1	0.61
RF00419	0.61
Tmem123	0.61
Mgat4c	0.61
AABR07072759.2	0.61
Dsg2	0.61
AABR07050701.1	0.61
RF00100	0.61
Gpat2	0.60
LOC689065	0.60
Gucy2d	0.60
Iqcg	0.60
AABR07066567.1	0.60
Aldob	0.60
Guca2a	0.60
Chit1	0.60
AABR07027009.1	0.60
Ap1s3	0.60
AABR07024463.1	0.60
LOC689039	0.59
AABR07035916.1	0.59
Slc39a8	0.59
Dnah6	0.59
AABR07002868.2	0.59
Spta1	0.59
Cdc42ep5	0.59
LOC100912028	0.59
4930444P10Rik	0.59
Nkx1-2	0.59
RF00138	0.59
AABR07044408.3	0.59
AABR07056183.1	0.59
Tmem154	0.59
Adrb3	0.59
Cyp2a3	0.59
Fbxo48	0.59
Xrra1	0.59
LOC100366231	0.59
AC109844.1	0.59
RF00009	0.59
Vom2r12	0.59
Zfp950	0.58
Tmbim7	0.58
Prr15	0.58
Myh3	0.58
LOC100364500	0.58
AABR07043456.1	0.58
Gucy1b2	0.58
Epn3	0.58
Mir3556b	0.58
Ggn	0.58
AC141102.1	0.58
Trim59	0.58
LOC103690118	0.57
Misp	0.57
RGD1563159	0.57
RF00272	0.57
F5	0.57
Rexo5	0.57
Impg2	0.57
Map3k21	0.57
Sim1	0.57
AABR07055826.1	0.57
Mir3546	0.57
AABR07033653.1	0.57
Giot1	0.57
LOC108348074	0.57
LOC103690023	0.56
Mx1	0.56
Adamts13	0.56
Ggt1	0.56
RGD1561795	0.56
Rab38	0.56
Mir3578	0.56
AC134160.1	0.56
AABR07004305.1	0.56
RF00414	0.56
AABR07003030.2	0.56
AABR07063425.1	0.56
Lipg	0.56
AABR07066826.1	0.56
Zfp709l1	0.56
Sh2d7	0.56
AC127084.2	0.56
Hells	0.56
AC119015.4	0.56
AABR07017849.1	0.56
Pkmyt1	0.56
Arsi	0.56
Slc25a45	0.56
RF00003	0.56
RF00004	0.56
Gp5	0.56
Zpbp	0.56
Zbtb10	0.56
AC141220.2	0.55
Entpd8	0.55
Dlgap5	0.55
Bmp8b	0.55
AC098022.2	0.55
AABR07015517.2	0.55
AABR07053283.1	0.55
Arhgef33	0.55
AABR07060291.1	0.55
RF00004	0.55
Arntl2	0.55
Ccdc166	0.55
Prc1	0.55
Clec5a	0.55
Insyn2	0.55
AABR07008904.1	0.55
Dmrta2	0.54
Mir5126	0.54
Fgf1	0.54
Fcgr3a	0.54
Mir3064	0.54
LOC108348453	0.54
C12H7orf61	0.54
Oas3	0.54
Marveld2	0.54
Wnt10a	0.54
LOC257650	0.54
Baiap2l1	0.54
AC109037.1	0.54
Lhx9	0.53
Nags	0.53
AABR07001926.3	0.53
Wnt5a	0.53
LOC108351589	0.53
Vsig10	0.53
Syt10	0.53
Rad21l1	0.53
LOC108348143	0.53
AY172581.2	0.53
LOC100909732	0.53
Tmsb15b2	0.53
Iqca1l	0.52
Cks2	0.52
Lrrc39	0.52
Dll3	0.52
AABR07058017.1	0.52
AABR07036649.2	0.52
Mir221	0.52
AC120692.1	0.52
AABR07017647.1	0.52
RF00581	0.52
AABR07002805.1	0.52
AABR07049862.2	0.52
Mir199b	0.52
RF00026	0.52
Fcmr	0.52
AABR07042866.1	0.52
Sgcg	0.52
AABR07037927.1	0.52
AABR07041949.1	0.52
Abcg5	0.52
Hsh2d	0.52
Asb16	0.52
AABR07071891.3	0.52
Ndufs6	0.52
AABR07041232.1	0.52
AABR07017773.1	0.52
NEWGENE_1306714	0.52
Rbbp8nl	0.52
AABR07036550.1	0.52
Ifit1bl	0.52
AABR07001100.1	0.52
RF00088	0.52
AABR07018273.2	0.52
RF00181	0.52
Mdfic	0.52
LOC689064	0.52
Zfp458	0.52
AABR07038029.1	0.52
RF00592	0.52
Sh2d1a	0.51
PVR	0.51
Grin3b	0.51
Kctd14	0.51
Sp100	0.51
Dmrtb1	0.51
AABR07055162.1	0.51
Ergic1	0.51
AABR07049064.1	0.51
Mt-atp8	0.51
Gen1	0.50
C1qtnf5	0.50
Ak9	0.50
LOC103694857	0.50
AABR07005779.5	0.50
RF00281	0.50
LOC102555377	0.50
AABR07021888.1	0.50
LOC691918	0.50
Twistnb	0.50
LOC102555083	0.50
Zfp647	0.50
RGD1560925	0.50
Trim72	0.50
AC093995.1	0.50
AABR07030162.1	0.50
Mir3597-1	0.50
AABR07048420.2	0.50
Ttll10	0.50
Avpr2	0.50
Slc25a6	0.50
RF00181	0.50
Dcst1	0.50
Chst5	0.49
LOC103690064	0.49
Prss50	0.49
LOC108349548	0.49
Exd1	0.49
Mir496	0.49
AABR07071731.1	0.49
Epm2a	0.49
Sele	0.49
Tshr	0.49
Cyp2e1	0.49
Gpr149	0.49
Fam122b	0.49
Gas2	0.49
Cyp11a1	0.49
AABR07048420.6	0.49
AABR07027819.2	0.49
Zc3h12a	0.49
Krt1	0.49
Tmem215	0.49
Ube2q2l	0.49
Clec14a	0.49
Aanat	0.48
Clcnka	0.48
RF00151	0.48
AC094055.1	0.48
Ccdc190	0.48
Cfap43	0.48
AABR07010583.1	0.48
LOC497899	0.48
Ubap1l	0.48
Zfp52	0.48
Nostrin	0.48
AC119762.3	0.48
AABR07015346.1	0.48
AC118434.1	0.48
Ttc32	0.48
Usp51	0.48
Brca2	0.48
Blm	0.48
Spdef	0.48
Rgs13	0.48
Olr337	0.48
Eras	0.48
AABR07017745.3	0.48
Abi3bp	0.48
Pdcl2	0.48
Cdkn2c	0.48
Il1rl1	0.48
Asb5	0.48
RGD1564613	0.48
Ano5	0.48
LOC102549842	0.48
AABR07011057.2	0.47
LOC685431	0.47
LOC691418	0.47
AC130862.3	0.47
Ppp1r17	0.47
Tmem196	0.47
AC120486.8	0.47
Angpt4	0.47
Spag6l	0.47
AABR07010570.1	0.47
Rai14	0.47
AABR07040855.1	0.47
AABR07050222.1	0.47
AABR07053741.1	0.47
Lrrc31	0.47
Mgarp	0.47
Adad2	0.47
Actrt3	0.47
Gpr31	0.47
LOC108348138	0.47
AABR07016674.1	0.47
AC096468.1	0.47
AABR07042733.2	0.47
_	0.47
Spc25	0.47
Fndc11	0.47
Serpinf2	0.47
Card19	0.47
AABR07002627.1	0.47
Bet1	0.47
Ldlrad1	0.46
AABR07026473.1	0.46
AC096809.1	0.46
AABR07070043.1	0.46
AABR07051190.1	0.46
Srpx	0.46
Rpl22l1	0.46
Mcub	0.46
Kdelr3	0.46
AABR07065897.1	0.46
LOC102555453	0.46
Aldh1a2	0.46
AABR07044308.1	0.46
AABR07002689.1	0.46
Lrrc74b	0.46
Wdr62	0.46
AABR07008608.1	0.46
Klhl14	0.46
RF00026	0.46
Ptpn21	0.46
AC125920.1	0.46
Hpgd	0.45
Galnt5	0.45
Lgals3	0.45
Rgr	0.45
Gast	0.45
Osm	0.45
AABR07052502.1	0.45
RF00402	0.45
RF00100	0.45
AABR07058423.4	0.45
AABR07048637.1	0.45
RT1-M4	0.45
AABR07057844.2	0.45
S100a4	0.45
Tmigd3	0.45
AABR07024908.1	0.45
Hsd17b3	0.45
Mis18bp1	0.45
AABR07021666.1	0.45
Sinhcaf	0.45
RF00478	0.45
AABR07019253.1	0.45
Znf442	0.45
Lrrc9	0.45
Cd46	0.45
Igf2bp2	0.45
LOC100360940	0.45
Syce2	0.45
Ifi44	0.45
Tpx2	0.45
Lat	0.45
Crb3	0.45
Odf2l	0.45
Nup214	0.45
Cd80	0.45
Ice2	0.45
C1qtnf9	0.44
AABR07070599.1	0.44
Cfap53	0.44
AABR07003176.1	0.44
Atoh8	0.44
Grhl3	0.44
Shq1	0.44
Bco2	0.44
LOC100910270	0.44
Mfsd6l	0.44
Mfrp	0.44
Mir628	0.44
AABR07031533.3	0.44
AABR07049516.1	0.44
Tsnaxip1	0.44
T2	0.44
Wdr97	0.44
Tdrd9	0.44
AABR07017159.2	0.44
Mt-co2	0.44
Scgn	0.44
RF00152	0.44
Scarf1	0.44
Ccr5	0.44
Rsl1	0.44
AABR07070238.1	0.44
AABR07040953.1	0.44
Cyr61	0.44
Vpreb3	0.44
AABR07064373.1	0.44
AABR07030529.1	0.44
LOC103694871	0.44
Ism2	0.43
Cep112	0.43
Hacd1	0.43
Fut4	0.43
Zfp40	0.43
RF00001	0.43
RF00181	0.43
Pcdhb9	0.43
Med11	0.43
Lct	0.43
RF00002	0.43
AABR07032904.1	0.43
Atp13a3	0.43
LOC100363372	0.43
Rbm12b	0.43
Tubd1	0.43
Spata24	0.43
Plod2	0.43
RF00405	0.43
Spata9	0.43
LOC100910196	0.43
Rnf207	0.43
Arxes2	0.43
RGD1563861	0.43
LOC102546889	0.42
Cuedc2	0.42
Calcrl	0.42
Bcl2l10	0.42
Nrg4	0.42
RGD1559575	0.42
Pheta2	0.42
LOC100911347	0.42
AABR07048473.1	0.42
Foxr1	0.42
Terb1	0.42
Knl1	0.42
AABR07044362.7	0.42
AABR07072264.1	0.42
RGD1560010	0.42
Ppm1j	0.42
RGD1561157	0.42
Met	0.42
AABR07014114.1	0.42
Zfp37	0.42
AABR07038021.1	0.42
Tex9	0.42
AABR07055919.1	0.42
LOC102552527	0.42
AABR07030603.2	0.42
Slc25a40	0.42
Mocos	0.42
Ube2l6	0.42
Trarg1	0.42
Fgl2	0.42
Dok7	0.42
Clic2	0.42
Bmp2	0.42
AABR07066957.1	0.42
Zfand1	0.42
Tmem161b	0.42
Rps6ka6	0.42
Adamts19	0.42
RGD1560775	0.42
Lekr1	0.42
Gpr101	0.41
Ormdl1	0.41
Rfx8	0.41
Angpt1	0.41
Epsti1	0.41
AABR07025757.1	0.41
Lrrc66	0.41
LOC679087	0.41
Ccdc189	0.41
RGD1565355	0.41
AABR07005572.1	0.41
Ska3	0.41
Maip1	0.41
Adcy10	0.41
Triap1	0.41
Mgmt	0.41
Plet1	0.41
LOC690414	0.41
Slc19a3	0.41
Ccnc	0.41
LOC103694380	0.41
Slc44a4	0.41
AABR07053065.1	0.41
Tmem45al	0.41
Tnf	0.41
Nat8f4	0.41
Cmpk1	0.41
Lysmd3	0.41
RGD1311745	0.41
Rrad	0.41
Rab32	0.41
Pex19	0.40
Pms1	0.40
Cdh12	0.40
Pigf	0.40
Smim13	0.40
AABR07061328.1	0.40
Dnajc24	0.40
Trim43a	0.40
AABR07028995.2	0.40
Rtkn	0.40
AABR07051892.1	0.40
AABR07033023.1	0.40
RGD1561161	0.40
Tgm4	0.40
LOC102551340	0.40
Ogn	0.40
Six3	0.40
Styxl1	0.40
B3glct	0.40
Mipol1	0.40
Faslg	0.40
Ripor3	0.40
Itgb7	0.40
Zc3h12d	0.40
Foxl2	0.40
Mroh6	0.40
Zdhhc11	0.40
LOC102546862	0.40
AABR07028839.2	0.40
Parp12	0.40
Cenph	0.40
Twist2	0.40
LOC691427	0.40
Tmem45a	0.40
Sfrp2	0.40
AABR07051426.1	0.40
Ptchd4	0.40
Pcdhga1	0.40
AABR07012785.2	0.40
Haus4	0.40
Fbxo32	0.40
Adrb1	0.39
Izumo1	0.39
Zfp819	0.39
Dsn1	0.39
Cd244	0.39
Cyp3a9	0.39
RGD1562914	0.39
AABR07053716.1	0.39
RF00054	0.39
RGD1359634	0.39
Atg10	0.39
Bub1	0.39
1700042G07Rik	0.39
Chac2	0.39
Tlr7	0.39
Klf8	0.39
Bche	0.39
AC093960.1	0.39
LOC308990	0.39
Col15a1	0.39
Ttc39a	0.39
Alg10	0.39
LOC103694855	0.39
AABR07027575.1	0.39
Cabcoco1	0.39
B3gnt6	0.39
Samd13	0.39
RF00001	0.39
AABR07048453.1	0.39
