"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","SUPERPATHWAY OF D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE METABOLISM%HUMANCYC%PWY-6358","0.999279711884754","1","0.151048433130037","0.391014972074967","4161","16","c(""Synj1"", ""Itpka"", ""Synj2"", ""Impa1"", ""Inpp5k"", ""Pten"")"
"2","GLUCONEOGENESIS I%HUMANCYC%GLUCONEO-PWY","0.340606060606061","0.85010811063616","0.417689453600522","1.09573695914411","1404","17","c(""Aldob"", ""LOC100911625"", ""Me3"", ""Eno2"", ""Me1"", ""Eno1"", ""Aldoa"", ""Me2"", ""Pgk1"", ""Gpi"")"
"3","PHOSPHOLIPASES%HUMANCYC%LIPASYN-PWY","0.042107001321004","0.352963753530269","-0.558362043264227","-1.49220563537215","254","25","c(""Pld6"", ""Pld4"", ""Pla2g5"", ""Pla2g3"", ""Plcd4"", ""Plce1"", ""Plcb4"", ""Plcb3"", ""Pld1"", ""Pld2"", ""Pla2g16"", ""Plcd1"")"
"4","SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5","0.880153563678852","1","-0.270924742385083","-0.698923655835566","5272","21","c(""Acat2"", ""Pmvk"", ""Acat1"", ""Sqle"", ""Ggps1"", ""Fdft1"", ""Idi1"", ""Nsdhl"", ""Cyp51"", ""Hadhb"", ""Dhcr24"", ""Dhcr7"", ""Hmgcs1"", ""Hmgcr"")"
"5","SUPERPATHWAY OF INOSITOL PHOSPHATE COMPOUNDS%HUMANCYC%PWY-6371","0.637566137566138","1","-0.290739147183228","-0.895406142091348","4096","52","c(""Pik3cg"", ""Pik3r6"", ""Plcd4"", ""Plce1"", ""Inpp5d"", ""Plcb4"", ""Plcb3"", ""Pik3c2b"", ""Plcd1"", ""Pip5k1b"", ""Ipmk"")"
"6","3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352","0.704492512479201","1","-0.317863496250402","-0.835194956606537","4233","23","c(""Pik3cg"", ""Pik3r6"")"
"7","D-<I>MYO< I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-6351","0.436980491942324","0.929480364986007","-0.404474675845952","-1.0192522337563","2575","19","c(""Plcd4"", ""Plce1"", ""Plcb4"", ""Plcb3"", ""Plcd1"", ""Pip5k1b"", ""Plcb2"")"
"8","FATTY ACID &BETA;-OXIDATION I%HUMANCYC%FAO-PWY","0.137399348980641","0.595688687946593","-0.54427555827188","-1.31627963555536","801","16","c(""Acaa2"", ""Slc27a2"", ""Eci1"", ""Hsd17b10"", ""Eci3"", ""Acsbg1"", ""Hadh"", ""Acsl3"")"
"9","GLYCOLYSIS I%HUMANCYC%GLYCOLYSIS","0.452329749103943","0.939064082807465","0.393623517829723","1.00206627694825","1892","15","c(""Aldob"", ""LOC100911625"", ""Eno2"", ""Pfkl"", ""Pkm"", ""Pfkp"", ""Eno1"", ""Aldoa"", ""Pgk1"", ""Gpi"")"
"10","TRNA CHARGING%HUMANCYC%TRNA-CHARGING-PWY","0.652299605781866","1","0.294898561355744","0.882255085585785","2481","30","c(""Wars2"", ""Yars2"", ""Ears2"", ""Sars2"", ""Lars2"")"
"11","ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN","0.343283582089552","0.851257516512492","-0.34264542078257","-1.07368626273507","2230","57","c(""Pik3cg"", ""Dsp"", ""Lamb3"", ""Clca1"", ""Col17a1"", ""Itga6"", ""Eif4ebp1"", ""Lama1"", ""Ntn1"")"
"12","TRAIL%IOB%TRAIL","0.957984520612857","1","-0.217205234536676","-0.648957016837359","6064","44","c(""Casp8"", ""Tnfsf10"", ""Casp1"", ""Ripk1"", ""Bak1"", ""Dap3"")"
"13","LEPTIN%IOB%LEPTIN","0.708005427408412","1","0.267446375623836","0.857091866498115","2608","41","c(""Th"", ""Hspb1"", ""Irs1"", ""Mapk1"", ""Rps6ka2"", ""Atf2"", ""Gsk3b"", ""Map2k1"", ""Prkcd"")"
